City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Hammerfest,NO,70.6634,23.6821,55.85,82,75,5.75,broken clouds
80,Merauke,ID,-8.4667,140.3333,75.94,92,76,8.08,broken clouds
81,Lasa,IT,46.6166,10.7002,74.28,82,56,2.13,broken clouds
82,Rawson,AR,-43.3002,-65.1023,47.41,47,51,23.15,broken clouds
83,Yar-Sale,RU,66.8333,70.8333,56.35,90,9,7.38,clear sky
84,Dudinka,RU,69.4058,86.1778,60.62,77,95,8.55,overcast clouds
85,Cherskiy,RU,68.75,161.3,44.1,85,100,8.21,overcast clouds
86,Hambantota,LK,6.1241,81.1185,80.94,78,75,13.8,broken clouds
87,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,broken clouds
88,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,32,11.05,scattered clouds
89,Lidkoping,SE,58.5052,13.1577,64.42,95,86,7.05,overcast clouds
90,Vila,PT,42.0304,-8.1588,67.69,69,43,6.29,scattered clouds
91,Batagay-Alyta,RU,67.8006,130.4114,47.79,80,100,1.48,overcast clouds
92,Mehran,IR,33.1222,46.1646,102.63,11,0,10.29,clear sky
93,Kieta,PG,-6.2167,155.6333,80.49,79,97,3.38,light rain
94,Vondrozo,MG,-22.8167,47.2833,58.6,95,99,1.77,overcast clouds
95,Kurdzhinovo,RU,43.9884,40.9552,62.4,92,2,5.01,clear sky
96,Severo-Kurilsk,RU,50.6789,156.125,54.63,83,74,11.27,broken clouds
97,Kununurra,AU,-15.7667,128.7333,64.38,94,74,0.0,broken clouds
98,Richards Bay,ZA,-28.783,32.0377,66.15,85,12,9.44,few clouds
99,Fulton,US,33.7668,-84.4499,92.84,71,75,5.75,thunderstorm
100,Pemba,MZ,-12.974,40.5178,74.1,83,20,3.44,few clouds
101,Nikolskoye,RU,59.7035,30.7861,66.09,68,18,4.63,few clouds
102,Bethel,US,41.3712,-73.414,95.65,55,0,9.22,clear sky
103,Roebourne,AU,-20.7833,117.1333,61.74,45,0,10.63,clear sky
104,Lagoa,PT,39.05,-27.9833,75.7,80,2,3.36,light rain
105,Panlaitan,PH,12.1191,119.8486,80.26,83,100,8.14,moderate rain
106,Egvekinot,RU,66.3167,-179.1667,48.11,84,90,3.2,light rain
107,Chuy,UY,-33.6971,-53.4616,52.23,95,100,15.3,overcast clouds
108,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,60,75,14.97,broken clouds
109,Hualmay,PE,-11.0964,-77.6139,65.71,72,38,11.99,scattered clouds
110,Katsuura,JP,35.1333,140.3,74.46,92,100,14.97,overcast clouds
111,Sitka,US,57.0531,-135.33,62.49,72,100,5.75,overcast clouds
112,Piranhas,BR,-16.4269,-51.8222,84.92,24,26,3.87,scattered clouds
113,Culiacancito,MX,24.8247,-107.5331,95.95,58,40,4.0,scattered clouds
114,Chernyshevskiy,RU,63.0128,112.4714,49.89,93,100,3.69,overcast clouds
115,Qasigiannguit,GL,68.8193,-51.1922,44.85,99,100,3.15,light rain
116,Dubrovytsya,UA,51.5744,26.565,68.52,72,74,6.29,broken clouds
117,Kapit,MY,2.0167,112.9333,73.18,100,100,1.19,moderate rain
118,Nizhnekamsk,RU,55.6366,51.8245,68.79,68,0,2.24,clear sky
119,Cidreira,BR,-30.1811,-50.2056,68.38,77,47,6.96,scattered clouds
120,Oberwart,AT,47.2897,16.206,73.62,59,0,3.33,clear sky
121,Araceli,PH,10.5529,119.9913,83.03,70,100,1.79,overcast clouds
122,Bhachau,IN,23.2833,70.35,86.05,65,100,9.24,overcast clouds
123,Majengo,TZ,-5.15,38.9833,67.28,87,34,3.49,scattered clouds
124,Buraydah,SA,26.326,43.975,99.05,21,36,5.41,scattered clouds
125,Asfi,MA,32.2994,-9.2372,70.38,87,0,13.33,clear sky
126,Pangnirtung,CA,66.1451,-65.7125,50.0,76,75,8.05,broken clouds
127,Port Alfred,ZA,-33.5906,26.891,59.63,82,49,6.08,scattered clouds
128,Lebanon,US,36.2081,-86.2911,89.94,65,0,12.66,clear sky
129,Nanortalik,GL,60.1432,-45.2371,46.51,88,100,4.54,overcast clouds
130,Carbonia,IT,39.1672,8.5222,82.0,58,0,3.85,clear sky
131,Kamenka,RU,51.3223,42.7678,70.02,61,100,7.52,overcast clouds
132,Kokkola,FI,63.8385,23.1307,63.93,87,0,9.22,clear sky
133,Tuensang,IN,26.2833,94.8333,70.16,99,100,2.73,overcast clouds
134,Aykhal,RU,66.0,111.5,43.21,96,100,12.71,light rain
135,Butembo,CD,0.15,29.2833,58.14,84,47,2.75,scattered clouds
136,Gigmoto,PH,13.7796,124.39,77.0,90,100,0.89,overcast clouds
137,Saint-Pierre,RE,-21.3393,55.4781,65.28,78,0,4.61,clear sky
